DAS,L_WT,L_RTH3,S_WT,S_RTH3
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5,0.00E+00,0.00E+00,0.00E+00,0.00E+00
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7,2.62E-05,0.002198693,0.006842551,0.004374565
8,3.78E-05,0.002562626,0.007656453,0.004842913
9,4.94E-05,0.00292656,0.008470355,0.005311261
10,6.1E-05,0.003290493,0.009284257,0.005779608
11,7.25E-05,0.003654427,0.010098159,0.006247956
12,8.41E-05,0.004018361,0.010912061,0.006716304
13,9.57E-05,0.004382294,0.011725964,0.007184652
14,0.000107307,0.004746228,0.012539866,0.007653
15,0.000154792,0.005531261,0.014003315,0.008588782
16,0.000202278,0.006316293,0.015466764,0.009524565
17,0.000249763,0.007101326,0.016930213,0.010460347
18,0.000297249,0.007886359,0.018393663,0.011396129
19,0.000344734,0.008671391,0.019857112,0.012331911
20,0.00039222,0.009456424,0.021320561,0.013267693
21,0.000439705,0.010241457,0.02278401,0.014203475
22,0.000634239,0.01192879,0.025380699,0.015760404
23,0.000828773,0.013616122,0.027977389,0.017317333
24,0.001023307,0.015303455,0.030574078,0.018874262
25,0.001217841,0.016990788,0.033170767,0.020431191
26,0.001412375,0.01867812,0.035767456,0.02198812
27,0.001606909,0.020365453,0.038364145,0.023545049
28,0.001801443,0.022052786,0.040960834,0.025101979
29,0.002597678,0.025660218,0.045812381,0.027895922
30,0.003393913,0.029267651,0.050663928,0.030689865
31,0.004190148,0.032875083,0.055515475,0.033483808
32,0.004986384,0.036482516,0.060367022,0.036277751
33,0.005782619,0.040089948,0.065218569,0.039071694
34,0.006578854,0.043697381,0.070070117,0.041865637
35,0.007375089,0.047304814,0.074921664,0.04465958
36,0.010622219,0.054924461,0.083597765,0.049599513
37,0.013869348,0.062544109,0.092273867,0.054539446
38,0.017116477,0.070163757,0.100949969,0.059479379
39,0.020363606,0.077783405,0.109626071,0.064419312
40,0.023610736,0.085403053,0.118302172,0.069359244
41,0.026857865,0.093022701,0.126978274,0.074299177
42,0.030104994,0.100642349,0.135654376,0.07923911
43,0.043151447,0.116323303,0.151213749,0.087952514
44,0.056197901,0.132004258,0.166773123,0.096665919
45,0.069244354,0.147685213,0.182332496,0.105379323
46,0.082290808,0.163366168,0.19789187,0.114092727
47,0.095337261,0.179047122,0.213451243,0.122806131
48,0.108383715,0.194728077,0.229010616,0.131519535
49,0.121430168,0.210409032,0.24456999,0.14023294
50,0.170823515,0.241016871,0.271451184,0.154956817
51,0.220216862,0.27162471,0.298332379,0.169680695
52,0.269610209,0.302232549,0.325213573,0.184404573
53,0.319003557,0.332840388,0.352094768,0.19912845
54,0.368396904,0.363448227,0.378975962,0.213852328
55,0.417790251,0.394056066,0.405857157,0.228576206
56,0.467183598,0.424663905,0.432738351,0.243300084
57,0.617127394,0.478406196,0.477579918,0.267784754
58,0.767071189,0.532148488,0.522421485,0.292269425
59,0.917014985,0.58589078,0.567263052,0.316754096
60,1.066958781,0.639633072,0.612104619,0.341238767
61,1.216902577,0.693375364,0.656946186,0.365723438
62,1.366846372,0.747117655,0.701787753,0.390208109
63,1.516790168,0.800859947,0.74662932,0.414692779
64,1.750772616,0.878579095,0.81570031,0.453110811
65,1.984755063,0.956298243,0.884771299,0.491528842
66,2.218737511,1.03401739,0.953842289,0.529946873
67,2.452719959,1.111736538,1.022913279,0.568364905
68,2.686702407,1.189455686,1.091984269,0.606782936
69,2.920684854,1.267174833,1.161055258,0.645200967
70,3.154667302,1.344893981,1.230126248,0.683618998
71,3.23549245,1.427068148,1.324598651,0.738722205
72,3.316317598,1.509242314,1.419071054,0.793825412
73,3.397142745,1.591416481,1.513543457,0.848928619
74,3.477967893,1.673590648,1.608015859,0.904031825
75,3.558793041,1.755764814,1.702488262,0.959135032
76,3.639618189,1.837938981,1.796960665,1.014238239
77,3.720443336,1.920113148,1.891433068,1.069341446
78,3.720443336,1.976889317,1.997828462,1.138085731
79,3.720443336,2.033665487,2.104223857,1.206830017
80,3.720443336,2.090441656,2.210619251,1.275574303
81,3.720443336,2.147217826,2.317014646,1.344318589
82,3.720443336,2.203993995,2.42341004,1.413062875
83,3.720443336,2.260770165,2.529805435,1.481807161
84,3.720443336,2.317546334,2.636200829,1.550551447
85,3.720443336,2.34153183,2.726719924,1.619241794
86,3.720443336,2.365517325,2.817239019,1.687932142
87,3.720443336,2.389502821,2.907758114,1.756622489
88,3.720443336,2.413488316,2.998277209,1.825312836
89,3.720443336,2.437473812,3.088796304,1.894003184
90,3.720443336,2.461459307,3.179315399,1.962693531
91,3.720443336,2.485444803,3.269834494,2.031383878
92,3.720443336,2.491043459,3.321214759,2.081086008
93,3.720443336,2.496642115,3.372595023,2.130788138
94,3.720443336,2.502240771,3.423975288,2.180490268
95,3.720443336,2.507839428,3.475355553,2.230192397
96,3.720443336,2.513438084,3.526735817,2.279894527
97,3.720443336,2.51903674,3.578116082,2.329596657
98,3.720443336,2.524635396,3.629496347,2.379298787
99,3.720443336,2.524874377,3.642488774,2.399443451
100,3.720443336,2.525113358,3.655481201,2.419588115
101,3.720443336,2.525352339,3.668473628,2.439732779
102,3.720443336,2.52559132,3.681466055,2.459877443
103,3.720443336,2.5258303,3.694458482,2.480022107
104,3.720443336,2.526069281,3.707450909,2.500166771
105,3.720443336,2.526308262,3.720443336,2.520311435
106,3.720443336,2.526308262,3.720443336,2.521168124
107,3.720443336,2.526308262,3.720443336,2.522024814
108,3.720443336,2.526308262,3.720443336,2.522881504
109,3.720443336,2.526308262,3.720443336,2.523738193
110,3.720443336,2.526308262,3.720443336,2.524594883
111,3.720443336,2.526308262,3.720443336,2.525451573
112,3.720443336,2.526308262,3.720443336,2.526308262
113,3.720443336,2.526308262,3.720443336,2.526308262
114,3.720443336,2.526308262,3.720443336,2.526308262
115,3.720443336,2.526308262,3.720443336,2.526308262
116,3.720443336,2.526308262,3.720443336,2.526308262
117,3.720443336,2.526308262,3.720443336,2.526308262
118,3.720443336,2.526308262,3.720443336,2.526308262
119,3.720443336,2.526308262,3.720443336,2.526308262
120,3.720443336,2.526308262,3.720443336,2.526308262
121,3.720443336,2.526308262,3.720443336,2.526308262
122,3.720443336,2.526308262,3.720443336,2.526308262
123,3.720443336,2.526308262,3.720443336,2.526308262
124,3.720443336,2.526308262,3.720443336,2.526308262
125,3.720443336,2.526308262,3.720443336,2.526308262
126,3.720443336,2.526308262,3.720443336,2.526308262
127,3.720443336,2.526308262,3.720443336,2.526308262
128,3.720443336,2.526308262,3.720443336,2.526308262
129,3.720443336,2.526308262,3.720443336,2.526308262
130,3.720443336,2.526308262,3.720443336,2.526308262
131,3.720443336,2.526308262,3.720443336,2.526308262
132,3.720443336,2.526308262,3.720443336,2.526308262
133,3.720443336,2.526308262,3.720443336,2.526308262
134,3.720443336,2.526308262,3.720443336,2.526308262
135,3.720443336,2.526308262,3.720443336,2.526308262
136,3.720443336,2.526308262,3.720443336,2.526308262
137,3.720443336,2.526308262,3.720443336,2.526308262
138,3.720443336,2.526308262,3.720443336,2.526308262
139,3.720443336,2.526308262,3.720443336,2.526308262
140,3.720443336,2.526308262,3.720443336,2.526308262
141,3.720443336,2.526308262,3.720443336,2.526308262
142,3.720443336,2.526308262,3.720443336,2.526308262
143,3.720443336,2.526308262,3.720443336,2.526308262
144,3.720443336,2.526308262,3.720443336,2.526308262
145,3.720443336,2.526308262,3.720443336,2.526308262
146,3.720443336,2.526308262,3.720443336,2.526308262
147,3.720443336,2.526308262,3.720443336,2.526308262
148,3.720443336,2.526308262,3.720443336,2.526308262
149,3.720443336,2.526308262,3.720443336,2.526308262
150,3.720443336,2.526308262,3.720443336,2.526308262
151,3.720443336,2.526308262,3.720443336,2.526308262
152,3.720443336,2.526308262,3.720443336,2.526308262
153,3.720443336,2.526308262,3.720443336,2.526308262
154,3.720443336,2.526308262,3.720443336,2.526308262
155,3.720443336,2.526308262,3.720443336,2.526308262
156,3.720443336,2.526308262,3.720443336,2.526308262
157,3.720443336,2.526308262,3.720443336,2.526308262
