time,transpiration
1,0.034995875
2,0.034049783
3,0.042550215
4,0.133065542
5,0.15183787
6,0.129331801
7,0.151908527
8,0.249797816
9,0.447284918
10,0.467451169
11,0.127384948
12,0.344970767
13,0.588002313
14,0.612865822
15,0.801690103
16,0.819920855
17,0.615210436
18,0.664198705
19,0.944229424
20,0.798652706
21,2.363853037
22,2.180109783
23,2.185673273
24,2.113487849
25,1.436947728
26,2.478013283
27,1.332831147
28,2.138800805
29,3.093711887
30,0.882006242
31,1.163412733
32,3.030274647
33,1.110609619
34,1.112364419
35,1.06444947
36,1.38193119
37,2.286661726
38,3.204196262
39,4.183677057
40,4.650281096
41,3.328983757
42,2.608849919
43,5.001144749
44,4.80443296
45,4.664663256
46,4.203182201
47,3.95163028
48,5.027346321
49,4.977815889
50,5.521645492
51,6.519913507
52,5.568123146
53,4.70808441
54,5.570511164
55,1.138751001
56,2.893930683
57,2.617178647
58,3.986211609
59,4.43095174
60,4.477497142
61,4.788510665
62,4.647909631
63,5.256500937
64,5.848415662
65,5.856588635
66,5.604649377
67,4.330389147
68,5.415137515
69,6.072650735
70,5.40236182
71,5.475839558
72,5.164323157
73,6.048396228
74,4.891599514
75,5.665725873
76,5.605224581
77,5.861136917
78,5.051832838
79,5.081029775
80,5.829685058
81,5.931605009
82,6.404752519
83,5.908032892
84,5.699180276
85,6.266234698
86,4.490626576
87,5.46198418
88,6.685016747
89,7.546376468
90,5.96053612
91,6.217350736
92,5.043861356
93,5.634338746
94,6.299014897
95,5.446148378
96,4.822097125
97,5.697179261
98,5.439467565
99,6.557914847
100,7.120535761
101,4.252412663
102,4.824362289
103,5.407541957
104,4.335341823
105,3.430468084
106,3.886835027
107,4.755890461
108,4.906764128
109,4.867327762
110,5.611137817
111,5.084559438
112,3.69885202
113,3.626480196
114,4.190577208
115,3.598185302
116,1.667173795
117,1.412963234
118,0.882155773
119,0.893151186
120,1.255185521
121,1.832166687
122,1.485723398
123,1.472383636
124,1.78788343
125,1.760701227
126,1.501722992
127,0.899477773
128,1.303270216
129,1.781525116
130,1.99087546
131,2.279259895
132,1.281580416
133,1.504873958
134,1.031384653
135,1.231461054
136,0.76695237
137,0.934517808
138,0.87893187
139,0.837264888
140,0.786265794
141,0.577024619
142,1.144989779
143,0.637788072
144,0.763633035
145,1.066491283
146,1.416030221
147,1.122766463
148,0.9226017
149,0.652459418
150,0.904273826
151,0.876446366
152,0.815964901
153,0.858052821
154,1.026073936
